"Gene" "gene_type" 
"Rv1080c" FALSE
"Rv1081c" FALSE
"Rv1082" FALSE
"Rv1083" FALSE
"Rv1084" FALSE
"Rv1085c" FALSE
"Rv1086" FALSE
"Rv1087" FALSE
"Rv1087A" FALSE
"Rv1088" FALSE
"Rv1089A" FALSE
"Rv1090" FALSE
"Rv1091" FALSE
"Rv1092c" FALSE
"Rv1093" FALSE
"Rv1094" FALSE
"Rv1095" FALSE
"Rv1096" FALSE
"Rv1097c" FALSE
"Rv1099c" FALSE
"Rv1100" FALSE
"Rv1101c" FALSE
"Rv1102c" FALSE
"Rv1103c" FALSE
"Rv1104" FALSE
"Rv1105" FALSE
"Rv1106c" FALSE
"Rv1107c" FALSE
"Rv1108c" FALSE
"Rv1109c" FALSE
"Rv1111c" FALSE
"Rv1112" FALSE
"Rv1113" FALSE
"Rv1114" FALSE
"Rv1115" FALSE
"Rv1116" FALSE
"Rv1116A" FALSE
"Rv1117" FALSE
"Rv1118c" FALSE
"Rv1119c" FALSE
"Rv1120c" FALSE
"Rv1121" FALSE
"Rv1122" FALSE
"Rv1123c" FALSE
"Rv1124" FALSE
"Rv1125" FALSE
"Rv1126c" FALSE
"Rv1127c" FALSE
"Rv1128c" FALSE
"Rv1129c" FALSE
"Rv1130" FALSE
"Rv1131" FALSE
"Rv1132" FALSE
"Rv1133c" FALSE
"Rv1134" FALSE
"Rv1135A" FALSE
"Rv1135c" FALSE
"Rv1136" FALSE
"Rv1137c" FALSE
"Rv1138c" FALSE
"Rv1139c" FALSE
"Rv1140" FALSE
"Rv1141c" FALSE
"Rv1142c" FALSE
"Rv1143" FALSE
"Rv1144" FALSE
"Rv1145" FALSE
"Rv1146" FALSE
"Rv1147" FALSE
"Rv1148c" FALSE
"Rv1149" FALSE
"Rv1151c" FALSE
"Rv1152" FALSE
"Rv1153c" FALSE
"Rv1154c" FALSE
"Rv1155" FALSE
"Rv1156" FALSE
"Rv1157c" FALSE
"Rv1158c" FALSE
"Rv1159" FALSE
"Rv1159A" FALSE
"Rv1160" FALSE
"Rv1161" FALSE
"Rv1162" FALSE
"Rv1163" FALSE
"Rv1164" FALSE
"Rv1165" FALSE
"Rv1166" FALSE
"Rv1167c" FALSE
"Rv1168c" FALSE
"Rv1169c" FALSE
"Rv1170" FALSE
"Rv1171" FALSE
"Rv1172c" FALSE
"Rv1173" FALSE
"Rv1174c" FALSE
"Rv1175c" FALSE
"Rv1176c" FALSE
"Rv1178" FALSE
"Rv1179c" FALSE
"Rv1180" FALSE
"Rv1181" FALSE
"Rv1182" FALSE
"Rv1183" FALSE
"Rv1184c" FALSE
